path,handler,module,function,file,documented
/api/v1/topologies/:id/chaos,chaos::delete_all,chaos,delete_all,src/api/chaos.rs,True
/api/v1/chaos,chaos::create,chaos,create,src/api/chaos.rs,True
/api/v1/presets,presets::list_presets,presets,list_presets,src/api/presets.rs,True
/api/v1/presets,presets::create_preset,presets,create_preset,src/api/presets.rs,True
/api/v1/presets/:id,presets::get_preset,presets,get_preset,src/api/presets.rs,True
/api/v1/presets/:id,presets::delete_preset,presets,delete_preset,src/api/presets.rs,True
/api/v1/cluster/status,health::cluster_status,health,cluster_status,src/api/health.rs,True
/api/templates,templates::list,templates,list,src/api/templates.rs,True
/api/templates/:template_id,templates::get,templates,get,src/api/templates.rs,True
/api/templates/:template_id/generate,templates::generate,templates,generate,src/api/templates.rs,True
/api/volumes/pvc,volumes::list_pvcs,volumes,list_pvcs,src/api/volumes.rs,True
/api/volumes/pvc,volumes::create_pvc,volumes,create_pvc,src/api/volumes.rs,True
/api/volumes/pvc/:name,volumes::delete_pvc,volumes,delete_pvc,src/api/volumes.rs,True
/api/volumes/config,volumes::list_config_maps,volumes,list_config_maps,src/api/volumes.rs,True
/api/volumes/config,volumes::create_config_map,volumes,create_config_map,src/api/volumes.rs,True
/api/volumes/config/:name,volumes::delete_config_map,volumes,delete_config_map,src/api/volumes.rs,True
/api/volumes/config/:name/files,volumes::upload_file_to_config_map,volumes,upload_file_to_config_map,src/api/volumes.rs,True
/api/topologies/:id/report,reports::generate_report,reports,generate_report,src/api/reports.rs,True
/api/topologies/:id/report/html,reports::generate_html_report,reports,generate_html_report,src/api/reports.rs,True
/api/scenarios/:id/run,run_scenario,scenarios,run_scenario,src/api/scenarios.rs,True
